Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
JOB PAPER 1.25,7908300005,07908354,1,3.0,"Rolling Paper,Cones, Tips and Wraps"
CAMO WRAPS STRAWBERRY,0320000110,20311025,5,2.5,"Rolling Paper,Cones, Tips and Wraps"
OCB PAPER 1/4 ORGANIC HEMP,8640000022,08642232,13,3.0,"Rolling Paper,Cones, Tips and Wraps"
OCB PAPER 1/4 BLACK PREMIUM,8640000066,08646636,14,3.0,"Rolling Paper,Cones, Tips and Wraps"
OCB PAPER SOPHISTIQUE 1/4,8640000068,08646830,14,4.0,"Rolling Paper,Cones, Tips and Wraps"
ZIG ZAG CONES KING,8660007766,8660007766,24,3.99,"Rolling Paper,Cones, Tips and Wraps"
ZIG ZAG CONES 1/4,0866000769,008660007698,7,4.0,"Rolling Paper,Cones, Tips and Wraps"
QUARTZ CAP 1,1166111001,11661110014,2,29.99,"Rolling Paper,Cones, Tips and Wraps"
CLOUD NURDZ 3MG WATERMELON BERRY,1243699649,12436996499,1,18.72,VAPE JUICES
CLOUD NURDZ 3MG WATERMELON BERRY ICE,1243699652,12436996529,1,18.72,VAPE JUICES
HOOKAH GUN STATION,1682730808,16827308083,1,95.0,HOOKAH RELATED
AGNI NEW NIXO BLUE HOOKAH,1682457744,16824577444,1,98.32,HOOKAH RELATED
NAKED 3MG MANGO CREAM,2189383871,21893838716,1,18.72,VAPE JUICES
NAKED 3MG BANANA,2189383850,21893838501,1,18.72,VAPE JUICES
NAKED SALT 35MG-MANGO,2189383971,21893839713,2,15.6,VAPE JUICES
NAKED SALT 35MG-STRAWBERRY POM,2189384018,21893840184,1,15.6,VAPE JUICES
NAKED SALT 35MG-AMERICAN P,2189384022,21893840221,2,15.6,VAPE JUICES
NAKED SALT 35MG CUBAN BLEND,2189384026,021893840269,2,15.6,VAPE JUICES
NAKED SALT 35MG-EUROGOLD,2189384031,21893840313,2,15.6,VAPE JUICES
SWISHER SWEETS MINI PACK,2590020604,025900206048,2,7.0,TOBACCO PRODUCTS
SWISHER SWEETS BANANA SMASH,2590022982,025900229825,4,1.5,TOBACCO PRODUCTS
