Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
TYSON TOBACCO LEAF BLUNT HYBRID KNOCKOUT OG KING 1PK CONE,9956711001,499567110015,8,5.99,TOBACCO PRODUCTS
YOCAN FLICK CONCENTRATE & JUICE BOX MOD,9956711007,499567110077,1,35.0,DEVICES: BATTERIES & MODS
GRIND BUDDY,9956711008,499567110084,3,17.5,GRINDERS
NEON GRINDER,9956711009,499567110091,0,18.0,GRINDERS
FFJ 6MG MARBLED MAYHEM,9956711015,499567110152,1,12.0,VAPE JUICES
TWIST CRIMSON NO.1,9956711016,499567110169,1,12.0,VAPE JUICES
FFJ 0MG MARBLE MAYHEM,9956711019,499567110190,3,12.0,VAPE JUICES
FREE-ZEE POP,9956711018,499567110183,1,10.0,VAPE JUICES
VIRTUE VAPE 0MG DELUXE FRENCH DUDE,9956711020,499567110206,1,12.0,VAPE JUICES
HOOKAH STATION $80,0006300000,200063000003,1,80.0,HOOKAH RELATED
MYSTIC HOOKAH $80,0006400000,200064000002,1,80.0,HOOKAH RELATED
THREE KINGS CHARCOAL,0006500000,200065000001,7,3.0,HOOKAH RELATED
YOCAN KODO PRO BATTERY,9956711074,499567110749,0,12.99,DEVICES: BATTERIES & MODS
CYRIL HOOKAH TIPS BAG $6.50,"9956711081, 1174597355",711745973558,2,6.5,HOOKAH RELATED
HOOKAH TONGS,0010100000,200101000002,2,6.0,HOOKAH RELATED
CYRIL PREMIM HOSE,0010300000,200103000000,3,30.0,HOOKAH RELATED
CYRIL DISPOSABLE HOOKAH HOSE,"9175900100, 2540249892",200104000009,1,5.0,HOOKAH RELATED
AGNIE PREMIER $80 HOOKAH,0675900000,206759000005,1,80.0,HOOKAH RELATED
TROPIC DRIP GRINDER,0677700000,206777000001,2,12.99,GRINDERS
TROPIC TRIP GRINDER,0677800000,206778000000,0,16.99,GRINDERS
SPHERE GRINDER,0677900000,206779000009,1,12.0,GRINDERS
720 GRINDER,0678000000,206780000005,4,25.0,GRINDERS
3D GRINDER,0678200000,206782000003,1,17.99,GRINDERS
HERB GRINDER,0678300000,206783000002,1,19.99,GRINDERS
TROPIC PLASTIC MINI JAR,0678400000,206784000001,5,8.0,GRINDERS
TROPIC BIO GRINDER,9816884448,198168844489,4,8.0,GRINDERS
XL GRINDER,0678700000,206787000008,2,18.0,GRINDERS
GOAT GRINDER,0678600000,206786000009,2,39.99,GRINDERS
JAR GRINDER,0678900000,206789000006,1,9.99,GRINDERS
HAPPY HIPPIE GRINDER,0678800000,206788000007,3,21.99,GRINDERS
TROPIC GLOW GRINDER,0679000000,206790000002,2,20.0,GRINDERS
SMOQ MINI GRINDER,0679100000,206791000001,0,15.99,GRINDERS
GLASS GRINDER,0679200000,206792000000,5,12.0,GRINDERS
USB GRINDER,0679400000,206794000008,2,12.0,GRINDERS
AGNI MIST $85 HOOKAH,2848700000,228487000003,0,85.0,HOOKAH RELATED
NAKED SALT 35MG MELON KIWI,6322100000,263221000000,1,15.0,VAPE JUICES
AIR FACTORY 35MG MYSTERY,6329200000,263292000008,2,16.0,VAPE JUICES
SPACE HOOKAH $120,6341100000,263411000001,1,120.0,HOOKAH RELATED
CYRIL BOWL $7,6342200000,263422000007,4,7.0,HOOKAH RELATED
CYRIL HOOKAH BOWL $12.99,6342300000,263423000006,3,12.99,HOOKAH RELATED
420 GRINDER,6346000000,263460000007,1,20.0,GRINDERS
CRISTAL HOOKAH $89,6347600000,263476000008,1,89.0,HOOKAH RELATED
PACKMAN,6347700000,263477000007,0,45.0,THCA PRODUCTS
ICEKREAM CARTS 1GR CART,6348800000,263488000003,4,35.0,THCA PRODUCTS
ZOMO MANGO,8420000161,78416123,2,5.99,HOOKAH RELATED
CLOUD NURDZ 3MG WATERMELON BERRY,1243699649,012436996499,1,18.0,VAPE JUICES
CLOUD NURDZ SALT ICE 25MG GRAPE STRAWBERRY,1243699688,012436996888,1,16.0,VAPE JUICES
NAKED 3MG CREAM STRAWBERRY,2189383869,021893838693,0,18.0,VAPE JUICES
NAKED 0MG CREAM BANANA,2189383849,021893838495,1,18.0,VAPE JUICES
NAKED 3MG FUSION STRAWBERRY,2189383904,021893839041,0,18.0,VAPE JUICES
NAKED SALT 50MG HAWAIIAN POG,2189383964,021893839645,2,15.0,VAPE JUICES
NAKED SALT 50MG REALLY BERRY,2189383993,021893839935,1,15.0,VAPE JUICES
NAKED SALT 35MG MENTHOL MINT,2189384014,021893840146,0,15.0,VAPE JUICES
NAKED SALT 50MG MENTHOL MINT,2189384015,021893840153,1,15.0,VAPE JUICES
NAKED SALT 35MG MENTHOL BERRY,2189384000,021893840009,1,15.0,VAPE JUICES
NAKED SALT 35MG STRAWBERRY POM,2189384018,021893840184,0,15.0,VAPE JUICES
NAKED SALT 35 MG AMERICAN PATRIOTS,2189384022,021893840221,2,15.0,VAPE JUICES
NAKED SALT 35MG CUBAN BLEND,2189384026,021893840269,2,15.0,VAPE JUICES
SWISHER SWEETS 2PK BANANA SMASH,2590022982,025900226824,37,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK GRAPE,2590022734,025900227340,23,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK BLUEBERRY,2590022735,025900227357,21,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK DIAMONDS,2590022983,025900229832,21,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK HONEY BANANA,2590022989,025900229894,2,1.5,TOBACCO PRODUCTS
MARLBORO GOLD PACK KINGS CIGARETTES,2820000384,02838423,9,12.5,TOBACCO PRODUCTS
GAME LEAF WILD BERRY 2,3170005516,031700055168,5,1.49,TOBACCO PRODUCTS
GAME LEAF WHITE RUSSIAN,3170005816,031700058169,10,1.89,TOBACCO PRODUCTS
GAME LEAF WILD BERRY,3170005819,031700058190,9,1.89,TOBACCO PRODUCTS
CALIFORNIA HONEY INDICA ZKITTLEZ,4365221179,043652211790,0,35.0,THCA PRODUCTS
BLAZY SUSAN KING SLIM ROLLING PAPER,5149701161,051497011611,17,2.0,ROLLING PAPERS & CONES
BLAZY SUSAN 1/4 ROLLING PAPER,5149701162,051497011628,37,2.0,ROLLING PAPERS & CONES
BLAZY SUSAN KING 3PK CONE,"5149722170, 1013492027",051497221706,3,4.0,ROLLING PAPERS & CONES
BLAZY SUSAN 50PK TIPS,5149733154,051497331542,11,1.5,ROLLING PAPERS & CONES
INNEVAPE SALT 50MG HEISENBERG MENTHOL,5317636034,053176360348,1,15.0,VAPE JUICES
INNEVAPE SALT 50MG BLGN WAFFLES,5317636037,053176360379,1,15.0,VAPE JUICES
INNEVAPE 6MG HEISENBERG MENTHOL,5317636112,053176361123,0,15.0,VAPE JUICES
HEISENBERG 3MG MENTHOL,5317636111,053176361116,0,15.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG,5317636107,053176361079,0,15.0,VAPE JUICES
INNEVAPE 0MG HEISENBERG THE BERG,5317636400,053176364001,1,18.0,VAPE JUICES
HEISENBERG GREEN 6MG,5317636402,053176364025,2,18.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG BERRY,5317637801,053176378015,0,15.0,VAPE JUICES
INNEVAPE SALT 50MG THE BERG BERRY,5317637804,053176378046,1,16.0,VAPE JUICES
INNEVAPE 3MG HEISENBERG SOUR APPLE,5317637856,053176378565,2,15.0,VAPE JUICES
HEISENBERG 3MG MENTHOL BERRY,5317637818,053176378183,0,15.0,VAPE JUICES
INNEVAPE 6MG HEISENBERG SOUR APPLE,5317637857,053176378572,2,15.0,VAPE JUICES
INNEVAPE SALT 50MG HEISENBERG SOUR APPLE,5317637859,053176378596,0,15.0,VAPE JUICES
INNEVAPE SALT 50MG HEISENBERG SOUR APPLE MENTHOL,5317637864,053176378640,3,15.0,VAPE JUICES
BLACK & MILD ORIGINAL SINGLE PLASTIC TIP,7013710018,070137100188,27,1.5,TOBACCO PRODUCTS
BLACK & MILD ORIGINAL SINGLE WOOD TIP,7013710525,070137105251,16,1.5,TOBACCO PRODUCTS
BLACK & MILD JAZZ SINGLE PLASTIC TIP,7013711121,070137111214,24,1.5,TOBACCO PRODUCTS
BACKWOODS 5PK DARK LEAF,7161020281,071610202818,4,7.0,TOBACCO PRODUCTS
