Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
CLOUD NURDZ 3MG WATERMELON BERRY,1243699649,12436996499,1,18.72,VAPE JUICES
CLOUD NURDZ 3MG WATERMELON BERRY ICE,1243699652,12436996529,1,18.72,VAPE JUICES
HOOKAH GUN STATION,1682730808,16827308083,1,95.0,HOOKAH RELATED
AGNI NEW NIXO BLUE HOOKAH,1682457744,16824577444,1,98.32,HOOKAH RELATED
NAKED 3MG- MANGO CREAM,2189383871,21893838716,1,18.72,VAPE JUICES
NAKED 3MG- BANANA,2189383850,21893838501,1,18.72,VAPE JUICES
NAKED SALT 50MG-MANGO,2189383972,021893839720,1,15.6,VAPE JUICES
NAKED SALT 35MG-MINT,2189384014,021893840146,0,15.6,VAPE JUICES
NAKED SALT 35MG-MANGO,2189383971,21893839713,2,15.6,VAPE JUICES
NAKED 3MG- STRAWBERRY FUSION,2189383904,021893839041,0,18.72,VAPE JUICES
NAKED SALT 35MG-STRAWBERRY POM,2189384018,21893840184,1,15.6,VAPE JUICES
NAKED SALT 35MG-AMERICAN P,2189384022,21893840221,2,15.6,VAPE JUICES
NAKED SALT 35MG CUBAN BLEND,2189384026,021893840269,2,15.6,VAPE JUICES
NAKED SALT 35MG-EUROGOLD,2189384031,21893840313,2,15.6,VAPE JUICES
SWISHER SWEETS MINI PACK,2590020604,025900206048,2,7.0,TOBACCO PRODUCTS
SWISHER SWEETS BANANA SMASH,2590022982,025900229825,4,1.5,TOBACCO PRODUCTS
SWISHERS SWEETS RED,2590044552,025900445522,14,1.5,TOBACCO PRODUCTS
SWISHER SWEETS GRAPE,2590022734,025900227340,5,1.5,TOBACCO PRODUCTS
SWISHER SWEETS BLUEBERRY,2590022735,025900227357,5,1.5,TOBACCO PRODUCTS
SWISHER SWEETS HONEY BANANA,2590022989,025900229894,5,1.5,TOBACCO PRODUCTS
SWISHER SWEETS PURPLE SWISH,2590024013,25900240134,0,1.5,TOBACCO PRODUCTS
