Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
ZYN 3MG PEPPERMINT,0924990101,609249901019,1,9.99,TOBACCO PRODUCTS
ZYN 3MG COOL MINT,0924990004,609249900043,0,9.99,TOBACCO PRODUCTS
ZYN 6MG CHILL,0924992022,609249920225,0,9.99,TOBACCO PRODUCTS
ZYN 6MG PEPPERMINT,0924990103,609249901033,11,9.99,TOBACCO PRODUCTS
ZYN 3MG CITRUS,0924990701,609249907011,4,9.99,TOBACCO PRODUCTS
ZYN 6MG MENTHOL,0924992304,609249923042,0,9.99,TOBACCO PRODUCTS
RAW CONE CLASSIC 1/4,1616517711,716165177111,44,3.0,"Rolling Paper,Cones, Tips and Wraps"
RAW CONE CLASSIC 20PK 1/4,1616529682,716165296829,14,12.99,"Rolling Paper,Cones, Tips and Wraps"
GEEKBAR 15K WATERMELON ICE,"1016428385, 1012543454",810125434549,3,26.0,NICOTINE VAPES
GEEKBAR 15K JUICY PEACH ICE,1012543462,810125434624,6,26.0,NICOTINE VAPES
GEEKBAR 15K SOUR APPLE ICE,1012543466,810125434662,3,26.0,NICOTINE VAPES
GEEKBAR 15K TROPICAL RAINBOW BLAST,1012543468,810125434686,3,26.0,NICOTINE VAPES
GEEKBAR 15K FCUKING FAB,"1016428387, 1012543474",810125434747,3,26.0,NICOTINE VAPES
GEEKBAR 15K MIAMI MINT,1012543594,810125435942,3,26.0,NICOTINE VAPES
GEEKBAR 15K SOUR APPLE B POP,1012543693,810125436932,0,26.0,NICOTINE VAPES
GEEKBAR 15K BLUEBERRY WATERMELON,1012543695,810125436956,3,26.0,NICOTINE VAPES
GEEKBAR 15K BERRY BLISS,1012543699,810125436994,0,26.0,NICOTINE VAPES
GEEKBAR 15K CRAZY MELON,1012543705,810125437052,0,26.0,NICOTINE VAPES
GEEKBAR 15K FROZEN PINA COLADA,1012543910,810125439100,4,26.0,NICOTINE VAPES
GRABBA LEAF SMALL,5590600700,855906007000,20,3.0,TOBACCO PRODUCTS
GRABBA LEAF WHOLE,5590600702,855906007024,5,6.0,TOBACCO PRODUCTS
CUVIE MARS ICE MINT,3710540825,6937105408254,0,20.0,NICOTINE VAPES
CUVIE MARS BLUEBERRY RASPBERRY,3710540827,6937105408278,4,20.0,NICOTINE VAPES
CUVIE MARS RASPBERRY WATERMELON,3710540871,6937105408711,2,21.0,NICOTINE VAPES
CUVIE MARS RAINBOW,3710541645,6937105416457,1,20.0,NICOTINE VAPES
CUVIE MARS TOBACCO COFFEE,3710541681,6937105416815,4,20.0,NICOTINE VAPES
CUVIE MARS DESSERT BREEZE,3710541684,6937105416846,5,20.0,NICOTINE VAPES
CUVIE MARS LUSH ICE,3710541686,6937105416860,7,21.0,NICOTINE VAPES
CUVIE MARS BLACK ICE,3710541717,6937105417171,0,20.0,NICOTINE VAPES
CUVIE PLUS MIAMI MINT,3710546389,6937105463895,5,14.99,NICOTINE VAPES
FUME INFINITY LUSH ICE,4182171940,6941821719402,6,21.0,NICOTINE VAPES
FUME INFINITY MINT ICE,4182171941,6941821719419,4,21.0,NICOTINE VAPES
FUME INFINITY STRAWBERRY BANANA,4182171943,6941821719433,7,21.0,NICOTINE VAPES
FUME INFINITY PEACH ICE,4182171945,6941821719457,3,21.0,NICOTINE VAPES
FUME INFINITY BLACK ICE,4182171946,6941821719464,5,21.0,NICOTINE VAPES
FUME INFINITY BLUEBERRY GUAVA,4182172002,6941821720026,1,21.0,NICOTINE VAPES
CUVIE PLUS LUSH ICE,7157899322,6971578993220,4,14.99,NICOTINE VAPES
CUVIE PLUS ICE MINT,"7157899427, 2374202942",6923742029426,1,14.99,NICOTINE VAPES
CUVIE PLUS GRAPEY,7157899442,6971578994425,5,14.99,NICOTINE VAPES
CUVIE PLUS BLUEBERRY,"7157899454, 2374202022",6971578994548,8,14.99,NICOTINE VAPES
CUVIE PLUS BLUEBERRY RASPBERRY,7157899673,6971578996733,5,14.99,NICOTINE VAPES
CUVIE PLUS STRAWBERRY BANANA,7157899678,6971578996788,3,14.99,NICOTINE VAPES
CUVIE PLUS APPLE PEACH,7157899680,6971578996801,3,14.99,NICOTINE VAPES
CUVIE PLUS LYCHEE ICE,7157899681,6971578996818,5,14.99,NICOTINE VAPES
CUVIE PLUS BLACK ICE,"7157899718, 2374202943",6971578997181,4,14.99,NICOTINE VAPES
CUVIE PLUS ENERGY DRINK,7157899852,6971578998522,7,14.99,NICOTINE VAPES
RAZ LTX 25K FROZEN JUICY STRAWBERRY,7286650742,6972866507426,0,32.0,NICOTINE VAPES
RAZ LTX 25K BANGIN SOUR BERRIES,7286650776,6972866507761,0,32.0,NICOTINE VAPES
RAZ LTX 25K MANGO LOCO,7286650814,6972866508140,0,32.0,NICOTINE VAPES
FUME EXTRA COTTON CANDY,7471014380,6974710143804,10,13.0,NICOTINE VAPES
FUME EXTRA TANGERINE ICE,"7471014381, 6974710143811",6974710143811,2,13.0,NICOTINE VAPES
FUME EXTRA MELON ICE,7330411168,6973304111687,4,13.0,NICOTINE VAPES
FUME EXTRA BUBBLEGUM,7471014383,6973304112561,10,13.0,NICOTINE VAPES
FUME EXTRA RAINBOW CANDY,7330411264,6973304112646,10,13.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY,7330411268,6973304112684,2,16.0,NICOTINE VAPES
FUME ULTRA BLUE RAZZ,7330411272,6973304112721,8,16.0,NICOTINE VAPES
FUME ULTRA LUSH ICE,"7471014468, 7330411278",6974710144689,5,16.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY WATERMELON,7330411282,6973304112820,9,16.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY BANANA,7471014472,6973304112868,4,16.0,NICOTINE VAPES
FUME ULTRA PINA COLADA,7330411288,6973304112882,8,16.0,NICOTINE VAPES
FUME ULTRA RAINBOW CANDY,7330411304,6973304113049,4,16.0,NICOTINE VAPES
FUME EXTRA PURPLE RAIN,"7471014390, 7330411356",6974710143903,4,13.0,NICOTINE VAPES
FUME ULTRA BLUEBERRY MINT,"7330411360, 7471014482",6974710144825,7,16.0,NICOTINE VAPES
FUME ULTRA PURPLE RAIN,7330411364,6973304113643,8,16.0,NICOTINE VAPES
FUME INFINITY PINA COLADA,7330411398,6973304113988,4,21.0,NICOTINE VAPES
FUME INFINITY PURPLE RAIN,"7330411404, 4182172001",6941821720019,4,21.0,NICOTINE VAPES
FUME EXTRA PEACH ICE,"7330411540, 7471014392",6974710143927,21,13.0,NICOTINE VAPES
FUME EXTRA FRESH LYCHEE,7471014394,6973304115449,1,13.0,NICOTINE VAPES
FUME EXTRA COFFEE TOBACCO,7330411716,6973304117160,9,13.0,NICOTINE VAPES
FUME EXTRA PARADISE,7471014414,6974710144146,6,13.0,NICOTINE VAPES
FUME ULTRA PARADISE,7330411800,6973304118006,8,16.0,NICOTINE VAPES
FUME EXTRA BLUEBERRY GUAVA,7471014660,6974710146607,8,13.0,NICOTINE VAPES
FUME EXTRA PINEAPPLE ICE,"7330411820, 7471014370",6974710143705,8,12.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY,7471014369,6973304118280,4,13.0,NICOTINE VAPES
FUME EXTRA MANGO,7330411838,6973304118389,6,12.0,NICOTINE VAPES
CUVIE PLUS STRAWBERRY WATERMELON,7382670034,6973826700345,5,14.99,NICOTINE VAPES
CUVIE PLUS PEACH ICE,7382670495,6973826704954,3,14.99,NICOTINE VAPES
CUVIE PLUS NUTS TOBACCO,7382670821,6973826708211,5,14.99,NICOTINE VAPES
FUME EXTRA BANANA ICE,7471014368,6974710143682,5,13.0,NICOTINE VAPES
FUME EXTRA BLUE RAZZ,7471014371,6974710143712,3,13.0,NICOTINE VAPES
FUME EXTRA MINT ICE,7471014372,6974710143729,24,13.0,NICOTINE VAPES
FUME EXTRA LUSH ICE,"7471014374, 7330411822",6974710143743,6,13.0,NICOTINE VAPES
FUME EXTRA GRAPE,7471014375,6974710143750,1,13.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY WATERMELON,7471014376,6974710143767,8,13.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY MANGO,7471014377,6974710143774,3,13.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY BANANA,7471014378,6974710143781,5,13.0,NICOTINE VAPES
FUME EXTRA PINA COLADA,7471014379,6974710143798,11,13.0,NICOTINE VAPES
FUME EXTRA CUBAN TOBACCO,7471014386,6974710143866,3,13.0,NICOTINE VAPES
FUME EXTRA BLUEBERRY MINT,7471014388,6974710143880,5,13.0,NICOTINE VAPES
FUME EXTRA TROPICAL FRUIT,7471014391,6974710143910,5,13.0,NICOTINE VAPES
FUME EXTRA DOUBLE APPLE,7471014393,6974710143934,5,13.0,NICOTINE VAPES
FUME EXTRA BLACK ICE,7471014400,6974710144009,8,13.0,NICOTINE VAPES
FUME ULTRA MINT ICE,7471014466,6974710144665,13,16.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY MANGO,"7471014471, 7330411284",6974710144719,4,16.0,NICOTINE VAPES
FUME ULTRA PEACH ICE,"7330411486, 7471014486",6974710144863,4,16.0,NICOTINE VAPES
FUME ULTRA BLACK ICE,"7471014494, 6974710144948",6974710144948,11,16.0,NICOTINE VAPES
FUME ULTRA MIAMI MIX,7330411798,6974710145068,0,16.0,NICOTINE VAPES
FUME EXTRA HAWAII JUICE,7471014661,6974710146614,9,13.0,NICOTINE VAPES
FUME EXTRA DRAGON PAPAYA,7471014676,6974710146768,4,13.0,NICOTINE VAPES
RAZ 9K STRAWBERRY ICE,7598405286,6975984052861,0,27.0,NICOTINE VAPES
RAZ 9K STRAWBERRY SHORTCAKE,7598405288,6975984052885,0,27.0,NICOTINE VAPES
RAZ 9K NIGHT CRAWLER,7598405290,6975984052908,0,27.0,NICOTINE VAPES
RAZ 9K DRAGON FRUIT LEMONADE,7598405292,6975984052922,0,27.0,NICOTINE VAPES
RAZ 9K POLAR ICE,"7598405294, 9011000008",8990110000088,4,27.0,NICOTINE VAPES
RAZ 9K BLUE RAZZ ICE,"7598405298, 9011000006",8990110000064,4,27.0,NICOTINE VAPES
RAZ 9K BLUEBERRY WATERMELON,"7598405300, 9011000016",8990110000163,4,27.0,NICOTINE VAPES
RAZ 9K MIAMI MINT,"7598405302, 9011000004",6975984053028,10,27.0,NICOTINE VAPES
RAZ 9K MANGO COLADA,7598405304,6975984053042,0,27.0,NICOTINE VAPES
RAZ 9K GRAPE ICE,7598405308,6975984053080,0,27.0,NICOTINE VAPES
RAZ 9K TRIPLE BERRY ICE,"7598405310, 9011000018",8990110000187,3,27.0,NICOTINE VAPES
RAZ 9K WATERMELON ICE,"7598405312, 9011000014",8990110000149,2,27.0,NICOTINE VAPES
RAZ 9K CHERRY LEMON,7598405316,6975984053165,0,27.0,NICOTINE VAPES
RAZ 9K VIOLET,7598405469,6975984054698,0,27.0,NICOTINE VAPES
RAZ 9K RUBY,"7598405471, 9011000032",6975984054711,5,27.0,NICOTINE VAPES
RAZ 9K VICKY,7598405473,6975984054735,0,27.0,NICOTINE VAPES
RAZ 9K TIFFANY,7598405475,6975984054759,0,27.0,NICOTINE VAPES
RAZ 9K BLUE RAZZ COTTON CLOUDZ,"7598405505, 9011000028",8990110000286,4,27.0,NICOTINE VAPES
RAZ 9K PINEAPPLE PASSIONFRUIT GUAVA,7598405516,6975984055169,0,27.0,NICOTINE VAPES
RAZ 9K CLEAR,7598405520,6975984055206,0,27.0,NICOTINE VAPES
RAZ 9K TOBACCO,7598405522,6975984055220,3,27.0,NICOTINE VAPES
RAZ 9K GEORGIA PEACH,7598405564,6975984055640,5,27.0,NICOTINE VAPES
RAZ 9K BLACK CHERRY PEACH,7598405750,6975984057507,5,27.0,NICOTINE VAPES
RAZ 9K SOUR MANGO PINEAPPLE,7598405752,6975984057521,0,27.0,NICOTINE VAPES
