ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
4,"9956711001","499567110015","TYSON TOBACCO LEAF BLUNT HYBRID KNOCKOUT OG KING 1PK CONE","EA","1","0.00","0.000","5.99",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","7.00",7,"100.00",1,1,"C",0,"general",0,"06201",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
5,"9956711003","499567110039","TORNADOS'S","MISC","1","0.00","0.000","29.99",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","5.00",5,"100.00",1,0,"D",0,"general",0,"74901",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
6,"9956711006","499567110060","TROPIC COMBO SCALE & KIT 700G",,"1","0.00","0.000","35.99",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"06101",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
7,"9956711005","499567110053","YOCAN EVOLVE-D DRY HERB COIL 5PK","MISC","1","0.00","0.000","25.00",,,,,"Tax","COILS & PODS REPLACEMENTS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"01635",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
8,"9956711007","499567110077","YOCAN FLICK CONCENTRATE & JUICE BOX MOD","MISC","1","0.00","0.000","35.00",,,,,"Tax","DEVICES: BATTERIES & MODS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"47402",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
9,"9956711008","499567110084","GRIND BUDDY","MISC","1","0.00","0.000","17.50",,,,,"Tax","GRINDERS",,"UNKNOWN","3.00",3,"100.00",1,0,"D",0,"general",0,"60033",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
10,"9956711009","499567110091","NEON GRINDER","MISC","1","0.00","0.000","18.00",,,,,"Tax","GRINDERS",,"UNKNOWN","0.00",0,"100.00",1,1,"D",0,"general",0,"47142",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
16,"9956711016","499567110169","TWIST CRIMSON NO.1","60ML","1","0.00","0.000","12.00",,,,,"Tax","VAPE JUICES",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"89111",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
17,"9956711014","499567110145","TOKE BUDDY SILICONE WAX JAR","MISC","1","0.00","0.000","2.00",,,,,"Tax","TRAYS/ ASHTRAY/JARS",,"UNKNOWN","2.00",2,"100.00",0,0,"D",0,"general",0,"56257",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
18,"9956711019","499567110190","FFJ 0MG MARBLE MAYHEM","120ML","1","0.00","0.000","12.00",,,,,"Tax","VAPE JUICES",,"UNKNOWN","3.00",3,"100.00",1,0,"D",0,"general",0,"76816",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
21,"9956711022","499567110220","RPM80 RGC COIL","MISC","1","0.00","0.000","6.00",,,,,"Tax","COILS & PODS REPLACEMENTS",,"UNKNOWN","0.00",0,"100.00",1,0,"D",0,"general",0,"65142",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
24,"9956711024","499567110244","GLUE GAR","3ML","1","0.00","0.000","3.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","7.00",7,"100.00",1,0,"D",0,"general",0,"29818",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
26,"9956711027","499567110275","GLOW MINI BONG $20","MISC","1","0.00","0.000","20.00",,,,,"Tax","BONGS",,"UNKNOWN","1.00",1,"100.00",0,0,"D",0,"general",0,"22603",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
