ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
2,"0009900000, 5570801963","200099000008, 0000","BENADRYL ALLERGY 2 TABLETS","MISC","1","0.42","0.460","2.00",,,,,"Tax","MEDICINE ITEMS","NOTAX","Nepa 305","11.00, 25.00",36,"79.00",1,1,"C",0,"general",0,"62284",25,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
3,"0021400000","200214000005","PACKMAN","MISC","1","28.07","28.070","35.99",,,,,"Tax","THCA PRODUCTS",,"Smoke Nation","1.00",1,"22.01",0,0,"D",0,"general",0,"33178",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
6,"0051200000","200512000004","SILICONE ONE HITTER","MISC","1","2.34","2.340","3.00",,,,,"Tax","HAND PIPES",,"UNKNOWN","15.00",15,"22.00",1,1,"C",0,"general",0,"91908",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
7,"0098000000","200980000001","DIAMODE ANTIDIARREA","MISC","1","0.39","0.390","2.00",,,,,"Tax","MEDICINE ITEMS","NOTAX","UNKNOWN","5.00",5,"80.50",2,2,"C",0,"general",0,"12682",1,,,,,0,0,"Inventory Item",,,0,1,0,0,"DIAMODE ANTIDIA",,0,0
8,"1961769895, 2826193105","019617698951, 0000","OIL BURNERS","MISC","1","0.58","0.480","3.00",,,,,"Tax","HAND PIPES",,"Nepa 305","47.00, 0.00",47,"80.67",60,7,"B",0,"general",0,"38282",60,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
10,"0217100000","202171000005","CAKELAB COOKIES","MISC","1","6.23","6.230","7.99",,,,,"Tax",,,"UNKNOWN","2.00",2,"22.03",0,0,"D",0,"general",0,"24883",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
11,"0214100000","202141000004","SWIRL BONG","MISC","1","16.00","16.000","39.00",,,,,"Tax","BONG/ WATER PIPES",,"UNKNOWN","1.00",1,"58.97",1,0,"D",0,"general",0,"78351",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
12,"1390727247","013907272470","VALERA SINGLE CIGAR","MISC","1","3.00","5.450","6.99",,,,,"Tax","CIGARS / PUROS","CIGARS","Valera 305","83.00",83,"57.08",2,2,"B",0,"general",0,"71124",1,,,,,0,0,"Inventory Item",,,0,1,0,0,"VALERA SINGLE C",,1,0
13,"0217000000","202170000006","CAKELAB DESSERTS","MISC","1","7.01","7.010","8.99",,,,,"Tax",,,"UNKNOWN","3.00",3,"22.02",0,0,"D",0,"general",0,"90645",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
14,"0500300000","205003000006","PINK METAL GRINDER","MISC","1","14.04","14.040","18.00",,,,,"Tax","GRINDERS",,"UNKNOWN","0.00",0,"22.00",1,0,"D",0,"general",0,"00525",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
