Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
ZYN 3MG COOL,0924990004,609249900043,1,9.99,MISCELLANEOUS SMOKE SHOP
ZYN 6MG CHILL,0924992022,609249920225,2,9.99,MISCELLANEOUS SMOKE SHOP
RAW CONE 3PK CLASSIC KING,1616517457,716165174578,28,4.0,ROLLING PAPERS/ CONES/ WRAPS
RAW PAPER CLASSIC 1 1/4 WITH TIP,1616517610,716165176107,11,3.5,ROLLING PAPERS/ CONES/ WRAPS
RAW CONE CLASSIC 1/4,1616517711,716165177111,34,3.0,CIGARS / PUROS
RAW PAPER CLASSIC 1 1/4,"1616517731, 1616530806",716165308065,18,2.0,CIGARS / PUROS
RAW PAPER CLASSIC BLACK 1 1/4,1616528096,716165280965,11,2.0,ROLLING PAPERS/ CONES/ WRAPS
RAW PAPER CLASSIC BLACK KING SLIM,1616528097,716165280972,18,3.0,ROLLING PAPERS/ CONES/ WRAPS
RAW CONE 20PK CLASSIC 1/4,1616529682,716165296829,6,12.99,ROLLING PAPERS/ CONES/ WRAPS
RAW CONE 20PK CLASSIC KING,1616529683,716165296836,5,12.99,ROLLING PAPERS/ CONES/ WRAPS
RAW CONE 20PK CLASSIC BLACK KING,1616529730,716165297307,0,12.99,ROLLING PAPERS/ CONES/ WRAPS
RAW PAPER CLASSIC ETHEREAL KING SIZE SLIM,1616530387,716165303879,40,3.0,ROLLING PAPERS/ CONES/ WRAPS
GEEKBAR 15K WATERMELON,1012543454,810125434549,1,26.0,NICOTINE VAPES
GEEKBAR 15K SOUR APPLE ICE,1012543466,810125434662,6,26.0,NICOTINE VAPES
GEEKBAR 15K TROPICAL RAINBOW BLAST,1012543468,810125434686,0,26.0,NICOTINE VAPES
GEEKBAR 15K FCUKING FAB,1012543474,810125434747,5,26.0,NICOTINE VAPES
GEEKBAR 15K STRAWBERRY BANANA,1012543478,810125434785,0,26.0,NICOTINE VAPES
GEEKBAR 15K BLUE RAZZ ICE,1012543592,810125435928,3,26.0,NICOTINE VAPES
GEEKBAR 15K BLOW POP,"1012543596, 7616999937",6976169999377,0,26.0,NICOTINE VAPES
GEEKBAR 15K SOUR APPLE BLOW POP,1012543693,810125436932,0,26.0,NICOTINE VAPES
GEEKBAR 15K FROZEN PINA COLADA,1012543910,810125439100,5,30.0,NICOTINE VAPES
GEEKBAR 15K FROZEN STRAWBERRY,1012543912,810125439124,0,30.0,NICOTINE VAPES
GRABBA LEAF SMALL,5590600700,855906007000,21,3.5,TOBACCO PRODUCTS
GRABBA LEAF WHOLE,5590600702,855906007024,6,6.0,TOBACCO PRODUCTS
CUVIE MARS ICE MINT,3710540825,6937105408254,0,21.0,NICOTINE VAPES
CUVIE MARS RASPBERRY WATERMELON,3710540871,6937105408711,4,21.0,NICOTINE VAPES
CUVIE MARS DESSERT BREEZE,3710541684,6937105416846,5,21.0,NICOTINE VAPES
CUVIE MARS LUSH ICE,3710541686,6937105416860,4,21.0,NICOTINE VAPES
CUVIE MARS BLACK ICE,3710541717,6937105417171,1,21.0,NICOTINE VAPES
CUVIE PLUS MIAMI MINT,3710546389,6937105463895,7,14.0,NICOTINE VAPES
CUVIE PLUS BLACK DRAGON,3710544836,6937105448366,6,14.0,NICOTINE VAPES
FUME INFINITY 4500 LUSH ICE,4182171940,6941821719402,4,21.0,NICOTINE VAPES
FUME INFINITY 4500 MINT ICE,4182171941,6941821719419,7,21.0,NICOTINE VAPES
FUME INFINITY 4500 PINA COLADA,4182171942,6941821719426,3,21.0,NICOTINE VAPES
FUME INFINITY 4500 STRAWBERRY BANANA,4182171943,6941821719433,2,21.0,NICOTINE VAPES
FUME INFINITY 4500 BLACK ICE,4182171946,6941821719464,4,21.0,NICOTINE VAPES
FUME INFINITY 4500 BLUEBERRY GUAVA,4182172002,6941821720026,5,21.0,NICOTINE VAPES
FUME INFINITY 4500 MIAMI MINT,4182172838,6941821728381,6,21.0,NICOTINE VAPES
CUVIE PLUS LUSH ICE,7157899322,6971578993220,7,14.0,NICOTINE VAPES
CUVIE PLUS MIAMI VICE,7157899350,6971578993503,7,14.0,NICOTINE VAPES
CUVIE PLUS ICE MINT,"7157899427, 2374202942",6923742029426,4,14.0,NICOTINE VAPES
CUVIE PLUS GRAPEY,7157899442,6971578994425,4,14.0,NICOTINE VAPES
CUVIE PLUS BLUEBERRY,7157899454,6971578994548,3,14.0,NICOTINE VAPES
CUVIE PLUS BLUEBERRY RASPBERRY,"7157899673, 2374201963",6923742019632,6,14.0,NICOTINE VAPES
CUVIE PLUS LYCHEE ICE,7157899681,6971578996818,4,14.0,NICOTINE VAPES
CUVIE PLUS BLACK ICE,"7157899718, 2374202943",6971578997181,1,14.0,NICOTINE VAPES
FUME EXTRA PURPLE RAIN,"7330411356, 7471014390",6973304113568,9,13.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY,7330411268,6973304112684,3,16.0,NICOTINE VAPES
FUME ULTRA PURPLE RAIN,"7330411364, 7471014484",6973304113643,11,16.0,NICOTINE VAPES
FUME EXTRA PEACH ICE,7471014392,6974710143927,5,13.0,NICOTINE VAPES
FUME EXTRA HAWAII JUICE,"7330411807, 7471014661",6974710146614,8,13.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY MANGO,7471014377,6974710143774,11,13.0,NICOTINE VAPES
CUVIE PLUS BLUEBERRY LEMONADE,7382670122,6973826701229,1,14.0,NICOTINE VAPES
CUVIE PLUS TOBACCO,"7382670819, 2374201975",6973826708198,5,14.0,NICOTINE VAPES
CUVIE PLUS PEACH ICE,7382670495,6973826704954,8,14.0,NICOTINE VAPES
CUVIE PLUS NUTS TOBACCO,7382670821,6973826708211,5,14.0,NICOTINE VAPES
FUME EXTRA BANANA ICE,7471014368,6974710143682,4,13.0,NICOTINE VAPES
FUME EXTRA BLUE RAZZ,7471014371,6974710143712,11,13.0,NICOTINE VAPES
FUME EXTRA MINT ICE,7471014372,6974710143729,1,13.0,NICOTINE VAPES
FUME EXTRA LUSH ICE,"7471014374, 7330411822",6974710143743,12,13.0,NICOTINE VAPES
FUME EXTRA STRAWBERRY WATERMELON,7471014376,6974710143767,4,13.0,NICOTINE VAPES
FUME EXTRA PINA COLADA,7471014379,6974710143798,8,13.0,NICOTINE VAPES
FUME EXTRA BLUEBERRY MINT,7471014388,6974710143880,3,13.0,NICOTINE VAPES
FUME EXTRA BLACK ICE,"7471014400, 7330411689",6974710144009,8,13.0,NICOTINE VAPES
FUME EXTRA PARADISE,"7471014414, 7330411796",6973304117962,2,13.0,NICOTINE VAPES
FUME ULTRA MINT ICE,7471014466,6974710144665,10,16.0,NICOTINE VAPES
FUME ULTRA LUSH ICE,7471014468,6974710144689,4,16.0,NICOTINE VAPES
FUME ULTRA STRAWBERRY BANANA,7471014472,6974710144726,5,16.0,NICOTINE VAPES
FUME ULTRA PINA COLADA,7471014473,6974710144733,10,16.0,NICOTINE VAPES
FUME EXTRA BLUEBERRY GUAVA,"7471014660, 7330411806",6974710146607,1,13.0,NICOTINE VAPES
RAZ 9K STRAWBERRY ICE,7598405286,6975984052861,0,27.0,NICOTINE VAPES
RAZ 9K POLAR ICE,7598405294,6975984052946,0,27.0,NICOTINE VAPES
RAZ 9K BLUE RAZZ ICE,"7598405298, 9011000006",8990110000064,2,27.0,NICOTINE VAPES
RAZ 9K MIAMI MINT,"7598405302, 9011000004",6975984053028,10,27.0,NICOTINE VAPES
RAZ 9K GRAPE ICE,"7598405308, 9011000012",8990110000125,2,27.0,NICOTINE VAPES
RAZ 9K MANGO COLADA,7598405304,6975984053042,1,27.0,NICOTINE VAPES
RAZ 9K TRIPLE BERRY ICE,"7598405310, 9011000018",8990110000187,1,27.0,NICOTINE VAPES
RAZ 9K WATERMELON ICE,"7598405312, 9011000014",8990110000149,2,27.0,NICOTINE VAPES
RAZ 9K RUBY,"7598405471, 9011000032",6975984054711,5,27.0,NICOTINE VAPES
RAZ 9K BLUE RAZ COTTON CLOUDZ,7598405505,6975984055053,0,27.0,NICOTINE VAPES
RAZ 9K VICKY,7598405473,6975984054735,0,27.0,NICOTINE VAPES
RAZ LTX 25K BANGIN SOUR BERRIES,7598405700,6975984057002,0,32.0,NICOTINE VAPES
RAZ 9K BLACK CHERRY PEACH,7598405750,6975984057507,0,27.0,NICOTINE VAPES
RAZ 9K SOUR MANGO PINEAPPLE,7598405752,6975984057521,0,27.0,NICOTINE VAPES
RAZ 9K TROPICAL STORM,7598405754,6975984057545,0,27.0,NICOTINE VAPES
RAZ 9K TOBACCO,7598405522,6975984055220,0,27.0,NICOTINE VAPES
GEEKBAR 15K FROZEN BLACKBERRY FAB,1012543908,810125439087,0,26.0,NICOTINE VAPES
GEEKBAR 15K BERRY BLISS,1012543699,810125436994,0,26.0,NICOTINE VAPES
ZYN 6MG SMOOTH,0924991402,609249914026,0,9.99,CIGARETTES/ CIGARRILOS
GEEKBAR 15K COOL MINT,1016428093,810164280930,6,26.0,NICOTINE VAPES
RAZ LTX 25K ORANGE MANGO,7286650991,6972866509918,1,32.0,NICOTINE VAPES
RAZ LTX 25K CLEAR DIAMOND,7286650740,6972866507402,0,32.0,NICOTINE VAPES
RAZ LTX 25K FROZEN CHERRY APPLE,7286650750,6972866507501,0,32.0,NICOTINE VAPES
RAZ LTX 25K NIGHT CRAWLER,"7286650762, 7826966044",6972866507624,5,32.0,NICOTINE VAPES
RAZ LTX 25K BLACK CHERRY PEACH,7286650790,6972866507907,0,32.0,NICOTINE VAPES
RAZ LTX 25K ICED BLUE DRAGON,"7286650758, 7826966057",6978269660577,0,32.0,NICOTINE VAPES
RAZ LTX 25K RAINBOW RAIN,"7286650786, 7598405931",6972866507860,0,32.0,NICOTINE VAPES
RAZ LTX 25K SOUR APPLE ICE,7286650668,6972866506689,3,32.0,NICOTINE VAPES
RAZ LTX 25K SOUR WATERMELON PEACH,7286650780,6972866507808,0,32.0,NICOTINE VAPES
RAZ LTX 25K NEW YORK MINT,7286650664,6972866506641,0,32.0,NICOTINE VAPES
RAZ LTX 25K STRAWBERRY KIWI PEAR,"7286650788, 7277797176",6972777971767,0,32.0,NICOTINE VAPES
ZYN 3MG CINNAMON,0924990601,609249906014,5,9.99,TOBACCO PRODUCTS
RAZ 9K DAY CRAWLER,7031364356,6970313643567,0,27.0,NICOTINE VAPES
RAZ 9K GEORGIA PEACH,"7598405564, 9011000024",8990110000248,4,27.0,NICOTINE VAPES
ZYN 6MG PEPPERMINT,0924990103,609249901033,6,9.99,MISCELLANEOUS SMOKE SHOP
ZYN 6MG COOL MINT,0924990003,609249900036,2,9.99,MISCELLANEOUS SMOKE SHOP
RAZ LTX 25K WATERMELON ICE,"7286650782, 7598405706",6972866507822,5,32.0,NICOTINE VAPES
GEEKBAR X 25K ATL MINT,1016428185,810164281852,0,30.0,NICOTINE VAPES
GEEKBAR X 25K MIAMI MINT,"1012543838, 1012543924",810125438387,5,30.0,NICOTINE VAPES
RAZ LTX 25K MIAMI MINT,"7286650770, 7826966035",6972866507709,0,32.0,NICOTINE VAPES
RAZ LTX 25K CLEAR SAPPHIRE,"7286650816, 7277797156",6972777971569,3,32.0,NICOTINE VAPES
RAZ LTX 25K WINTERGREEN,"7286650764, 7277797154",6972777971545,0,32.0,NICOTINE VAPES
RAZ 9K STRAWBERRY WATERMELON,"7031364211, 9011000022",6970313642119,5,27.0,NICOTINE VAPES
GEEKBAR X 25K SOUR STRAWS,1012543990,810125439902,3,30.0,NICOTINE VAPES
GEEKBAR X 25K STRAWBERRY KIWI ICE,1016428179,810164281791,5,30.0,NICOTINE VAPES
GEEKBAR X 25K BLACKBERRY BLUEBERRY,1012543992,810125439926,2,30.0,NICOTINE VAPES
ZYN 3MG CITRUS,0924990701,609249907011,5,9.99,TOBACCO PRODUCTS
ZYN 3MG COFFEE,0924990401,609249904010,5,9.99,TOBACCO PRODUCTS
RAZ LTX 25K BLUE RAZ ICE,"7286650768, 7826966059, 9011000070",6978269660591,5,32.0,NICOTINE VAPES
RAZ LTX 25K TRIPLE BERRY GUSH,7031364876,6970313648760,0,32.0,NICOTINE VAPES
RAZ LTX 25K SOUR APPLE WATERMELON,7286650778,6972866507785,0,32.0,NICOTINE VAPES
ZYN 6MG MENTHOL,0924992304,609249923042,1,9.99,TOBACCO PRODUCTS
RAZ LTX 25K TROPICAL GUSH,"7031364856, 7826966038",6978269660386,4,32.0,NICOTINE VAPES
RAZ LTX 25K STRAWBERRY PEACH GUSH,"7031364844, 7826966053",6970313648449,5,32.0,NICOTINE VAPES
FUME EXTRA MIAMI MINT,7471014668,6974710146683,5,13.0,NICOTINE VAPES
ZYN 3MG SPEARMINT,0924990201,609249902016,3,9.99,TOBACCO PRODUCTS
RAZ 9K STRAWBERRY SHORTCAKE,7598405288,6975984052885,0,27.0,NICOTINE VAPES
RAZ LTX 25K BANGIN SOUR BERRIES,7286650776,6972866507761,0,32.0,NICOTINE VAPES
RAZ LTX 25K BLUEBERRY PUNCH,"7827153002, 7277797142",6972777971422,0,32.0,NICOTINE VAPES
FUME ULTRA PEACH ICE,"7330411486, 7471014486",6974710144863,6,16.0,NICOTINE VAPES
RAW PAPER ORGANIC HEMP KINGSIZE WITH TIP,1616517757,716165177579,11,3.5,ROLLING PAPERS/ CONES/ WRAPS
GEEKBAR X 25K WATERMELON ICE,1012543842,810125438424,1,30.0,NICOTINE VAPES
CUVIE PLUS TRIPLE BERRY,2374201546,6923742015467,5,14.0,NICOTINE VAPES
ZYN 6MG CITRUS,0924990702,609249907028,0,9.99,TOBACCO PRODUCTS
CUVIE PLUS MEXICAN MANGO,2374201525,6923742015252,1,14.0,NICOTINE VAPES
CUVIE PLUS SOUR APPLE ICE,"2374201534, 2374202050",6923742020508,7,14.0,NICOTINE VAPES
FUME ULTRA BLACK ICE,"7471014494, 7330411699",6974710144948,13,16.0,NICOTINE VAPES
FUME EXTRA ICE MATCHA,7471014672,6974710146720,9,13.0,NICOTINE VAPES
RAZ 9K BANANA COCONUT,7598405507,6975984055077,0,27.0,NICOTINE VAPES
GEEKBAR X 25K PEACH PERFECT SLUSH,1016428268,810164282682,5,30.0,NICOTINE VAPES
CUVIE PLUS LUXURY MINT,"2374201519, 2374202144",6923742015191,8,14.0,NICOTINE VAPES
ZYN 3MG PEPPERMINT,0924990101,609249901019,5,9.99,MISCELLANEOUS SMOKE SHOP
